country,included_in_author_prompt,implicit_sexuality_real,explicit_sexuality_real,implicit_age_real,explicit_age_real,implicit_gender_science_real,explicit_gender_science_real
Argentina,1,0.450939918084307,1.09157716223855,0.535104785478542,0.759550561797753,0.248761508864012,0.0907599781301257
Australia,1,0.209693451456992,0.237113402061856,0.458947314679828,0.367077035592394,0.374426442440988,0.0595463735152894
Austria,1,0.163693017488561,0.410945751320211,0.556173542446259,0.393939393939394,0.448431115686061,0.0404858299595142
Belgium,1,0.253136342360151,0.612270450751252,0.563185210893513,0.658097686375321,0.433026049892552,0.108244815376834
Brazil,1,0.144319261435697,0.558502237430903,0.430177918265068,0.605892021747376,0.335161344920528,-0.242479727962333
Canada (English),1,0.199875262706752,0.269145781240914,0.451677217013284,0.353593627870622,0.357993549117056,0.0449075078986084
Canada (French),1,0.128413963422832,0.374776386404293,0.505324900380753,0.532064128256513,0.424877354313613,0.0353846153846154
China,1,0.0876367188647818,0.972423622730371,0.481560231265485,0.816786836753559,0.526587829892643,-0.065377532228361
Colombia,1,0.267840576226796,0.659227985524729,0.445216057139753,0.499087591240876,0.323301554461594,-0.128190584231424
Czech Republic,1,0.227396620255251,0.753598645215919,0.573340098627482,0.736535662299854,0.410356218392083,-0.0373482726423903
Denmark,1,0.156115725104233,0.494752623688156,0.507465487790925,0.602864583333333,0.488891400120232,0.000586510263929619
France,1,0.0945201492695993,0.318720484718881,0.551436874918013,0.589950004236929,0.426099455599581,0.0361308970785589
Germany,1,0.148018152819212,0.454981946685104,0.585906195981685,0.44547108039287,0.470966998903999,0.0445578819865029
Hungary,1,0.300038930180396,0.819111537232343,0.552570600539492,0.606867554309741,0.47238013489282,-0.290553138595401
India,1,0.316110668709547,0.842292490118577,0.399997504613994,0.490774907749078,0.257625810696387,0.131556611780682
Ireland,1,0.181020767498458,0.213759213759214,0.481190444536335,0.411925976696367,0.356530854198482,0.165268870251603
Israel,1,0.255755096648624,0.534979423868313,0.456354179728533,0.647877984084881,0.452146769628466,-0.380622837370242
Italy,1,0.272833593213108,0.511235456079581,0.550740682534496,0.664076782449726,0.388012890006764,-0.114924958310172
Japan,1,0.0539150114403242,0.876219825372368,0.538858570188294,0.827959439444001,0.382875994930502,-0.143339449541284
Korea,1,0.216964581246698,0.668070766638585,0.504849068295675,1.40043446777697,0.397303548075641,-0.38220640569395
Mexico,1,0.308689595013185,0.8612828438949,0.440362765467377,0.563129357087529,0.311830912308467,0.0623015873015873
Netherlands,1,0.26065600883733,0.356676342525399,0.53274244622862,0.622912621359223,0.358584608169944,0.573333333333333
Norway,1,0.181988733817701,0.256002314145213,0.476331379591819,0.398720682302772,0.429507050627001,-0.212345679012346
Poland,1,0.282183310471534,0.594588575882418,0.459938255018267,0.20513506285103,0.439496438506214,-0.201217608492039
Portugal,1,0.283566725554676,0.802625622453599,0.43588312541835,0.641986879100281,0.349766308434079,-0.136752136752137
Romania,1,0.342338771218212,1.14779874213836,0.497359583666942,1.02290076335878,0.584578841484301,-0.334705075445816
Russia,1,0.27695227948537,1.00383993532741,0.509758259376191,0.95136476426799,0.446907541207485,0.125617792421746
Serbia,1,0.414909259894545,1.12867647058824,0.499575979729443,0.859060402684564,0.370586511436634,-0.279614325068871
South Africa,1,0.31233518350049,0.611916264090177,0.47423624104483,0.36231884057971,0.355375413208491,0.126984126984127
Spain,1,0.18446865293005,0.379717243682511,0.505693291608813,0.607596875478634,0.288593517203103,0.0893123737595504
Sweden,1,0.122154430368076,0.319327731092437,0.487458404260038,0.428675719083078,0.42230765245991,-0.190351917754053
Switzerland (French),1,0.186221648867663,0.592385218365062,0.552382257157167,0.600907029478458,0.402202923433312,0.402777777777778
Switzerland (German),1,0.145351870419031,0.426327599102468,0.561181290587311,0.415094339622642,0.468155027983685,-0.0471349353049908
Taiwan,1,-0.147375307706675,0.15676187897658,0.506469469196159,0.626849894291755,0.458565770617965,-0.464874241110147
Turkey,1,0.135397871452158,1.00536571589946,0.533991093944364,0.68981018981019,0.39720117168502,-0.524940617577197
United Kingdom,1,0.215377270137078,0.197097510320248,0.478763481284053,0.215345498055639,0.404181295255189,0.224172818226103
(United States),0,,,,,,
